Ensembl,Gene.symbol,baseMean,log2FoldChange,p.value,p.adjust
ENSG00000275385,CCL18,3871.78958720027,8.09548424301829,5.26642866378349e-205,1.53953509128383e-200
ENSG00000260314,MRC1,1283.32189033037,4.53228418176999,5.06280065976669e-160,7.40004258434798e-156
ENSG00000038945,MSR1,199.640456145069,4.89841717672648,4.52919665127867e-154,4.41340019022765e-150
ENSG00000177575,CD163,1632.54286250381,5.32436734479192,1.02724753691082e-149,7.50738181162847e-146
ENSG00000110077,MS4A6A,848.917843128256,3.76264604760541,3.30095500519123e-145,1.92993635333511e-141
ENSG00000197629,MPEG1,1194.34452439056,3.16710023209495,9.27795007445125e-144,4.52037190877389e-140
ENSG00000185966,LCE3E,2398.93640303742,5.58207958555313,6.35570077234714e-136,2.65423143825748e-132
ENSG00000162618,ADGRL4,286.366783094529,3.2238082911624,2.59305223869304e-133,9.47533701171419e-130
ENSG00000166927,MS4A7,243.051206855244,4.52681397346216,8.40892378983295e-130,2.7313118794243e-126
ENSG00000186818,LILRB4,155.740912271663,4.60063432459306,2.52743067731077e-128,7.38843809898257e-125
ENSG00000142224,IL19,35.4933097772116,13.8775358873501,6.83508346501159e-128,1.81645449938803e-124
ENSG00000159189,C1QC,986.921434641174,4.11447635633577,8.91149119738722e-128,2.17091351811017e-124
ENSG00000059377,TBXAS1,133.296496885242,3.49568227283534,1.47477569308951e-126,3.31631675662196e-123
ENSG00000175899,A2M,4531.44520256392,3.29993245719212,4.51699015547964e-125,9.43179808679545e-122
ENSG00000163202,LCE3D,10043.4640142372,5.35035570107533,3.16871322548838e-124,6.17539958138011e-121
ENSG00000180720,CHRM4,72.7890242082313,-5.23345423529002,1.49917285067393e-123,2.73908249648443e-120
ENSG00000128656,CHN1,134.064330577317,2.91214810009466,1.86808518710886e-122,3.21233731027961e-119
ENSG00000173369,C1QB,962.183389671969,4.34260842442552,1.50605836148221e-119,2.44592244895608e-116
ENSG00000110079,MS4A4A,308.714622845902,4.28723473751029,8.80055579398771e-119,1.35403498697707e-115
ENSG00000111252,SH2B3,433.351765475063,2.55957397641199,6.16164046144342e-117,9.00616178046877e-114
ENSG00000181374,CCL13,1319.70534465296,5.68367537389794,3.12483579271565e-116,4.34992022516459e-113
ENSG00000171860,C3AR1,184.05910663174,3.91668143280309,5.40205466238764e-116,7.17810290661717e-113
ENSG00000163823,CCR1,210.882816104196,4.53902802649138,1.16093248281687e-112,1.47554518566025e-109
ENSG00000169508,GPR183,217.370198392601,4.09613399297261,3.43051591497433e-111,4.17851132260186e-108
ENSG00000241794,SPRR2A,5567.80951826759,8.43868359107241,2.01154250405478e-110,2.35213688084133e-107
ENSG00000253958,CLDN23,382.828378448853,-3.04556772681799,5.06459566164861e-110,5.69435865296053e-107
ENSG00000174175,SELP,255.139419712703,3.43116442689407,7.46952570722732e-110,8.08728314812505e-107
ENSG00000090659,CD209,384.483211878771,4.25610602708756,9.69150428115872e-110,1.01182765946826e-106
ENSG00000184330,S100A7A,3863.49910381821,10.2346899347441,2.99710770560789e-109,3.02118791579432e-106
ENSG00000028137,TNFRSF1B,684.265222045597,2.63462150095773,6.23088980353094e-107,6.04051750984227e-104
ENSG00000146072,TNFRSF21,555.323919994699,3.06996647445099,6.40563892878289e-107,6.04051750984227e-104
ENSG00000122862,SRGN,798.993710672484,3.49730342001858,1.845393813847e-106,1.68582491750592e-103
ENSG00000163359,COL6A3,9197.21509296278,3.23948090083255,6.34999853049545e-106,5.6251365770295e-103
ENSG00000086300,SNX10,143.714945824769,3.76520971216726,2.2148634642552e-105,1.90432657795801e-102
ENSG00000181333,HEPHL1,1239.88858632795,6.33891115401907,6.01841194213723e-105,5.02674960869993e-102
ENSG00000041982,TNC,6143.8540767931,4.63562013682108,1.87296060516316e-104,1.52089603807596e-101
ENSG00000168461,RAB31,1641.66797810375,2.2926258675502,2.40350352686734e-104,1.89896266488954e-101
ENSG00000185962,LCE3A,1012.3351943082,8.3038497746337,4.47097043806837e-104,3.43947049515928e-101
ENSG00000227471,AKR1B15,155.107527244953,4.96659751158107,6.18871793461806e-104,4.63884080468435e-101
ENSG00000187474,FPR3,434.570191876474,3.40518983739119,9.85752229277638e-102,7.2041237296183e-99
ENSG00000206073,SERPINB4,7041.49956454032,8.57598807618639,6.84928500033741e-100,4.88354020524057e-97
ENSG00000130300,PLVAP,1065.9440783775,2.7599562945577,1.30701918888821e-99,9.09716474970691e-97
ENSG00000118257,NRP2,474.597137661255,2.92403281051336,1.34166943702106e-99,9.12116805870621e-97
ENSG00000151702,FLI1,350.826331110171,2.28387646962021,1.06075828386575e-98,7.04753338914713e-96
ENSG00000106952,TNFSF8,49.6298752016574,3.68309792432458,4.91681927002904e-98,3.19407506046131e-95
ENSG00000124491,F13A1,4400.32168505938,3.2653305643495,8.26320143464602e-98,5.25126451171755e-95
ENSG00000120279,MYCT1,108.701455291385,2.3455277370737,1.94458923611428e-97,1.20949313062402e-94
ENSG00000163220,S100A9,54255.0446261879,6.57804300117722,3.61828634349073e-97,2.20361176415135e-94
ENSG00000158869,FCER1G,469.473283921228,2.91589120282117,2.44670073666199e-96,1.4304880526968e-93
ENSG00000140968,IRF8,431.291453326564,3.32303569329467,8.95106278467808e-95,5.13071408597048e-92
ENSG00000204291,COL15A1,1785.78332093252,3.71895603759426,9.9227214709614e-95,5.57828686078105e-92
ENSG00000261371,PECAM1,2613.20392700822,2.47315091708387,1.20494411600355e-94,6.64606251757203e-92
ENSG00000115956,PLEK,443.276838275195,3.18093953544053,1.25089223192842e-94,6.77172826221544e-92
ENSG00000125810,CD93,965.988516922053,3.15060225688863,1.28176592871003e-94,6.81270243526912e-92
ENSG00000260244,AC104083.1,69.0134237295758,2.95081184394928,2.79877187405787e-94,1.46100889632739e-91
ENSG00000166073,GPR176,185.535308176197,2.49780209242722,8.21184817862648e-94,4.21152557554014e-91
ENSG00000174600,CMKLR1,346.957050175819,2.90896401804042,2.65650209437407e-93,1.33892285732478e-90
ENSG00000143248,RGS5,670.927383358964,3.14733799151878,3.64736442124697e-93,1.80717634112395e-90
ENSG00000187498,COL4A1,1819.41547098535,3.59178515012913,1.27476109345505e-92,6.21084850749524e-90
ENSG00000172243,CLEC7A,331.910997676894,3.09328986005522,7.52027385733615e-92,3.60393714215587e-89
ENSG00000166265,CYYR1,231.418613512303,2.2181406313282,8.03452029558604e-92,3.78827631936882e-89
ENSG00000196805,SPRR2B,3097.47907440309,7.10306427377692,1.73739936828969e-91,8.06180884654169e-89
ENSG00000168546,GFRA2,151.609670004213,3.3083897478346,2.69398081643337e-90,1.21158678779687e-87
ENSG00000175471,MCTP1,187.001877004182,2.90750303560112,3.57366399407077e-90,1.58286241725259e-87
ENSG00000133574,GIMAP4,326.399338928142,2.33918018246542,4.77204776504065e-90,2.08210854202139e-87
ENSG00000145416,MARCH1,171.471594554632,2.93755434956624,5.38589319583073e-90,2.31537964402529e-87
ENSG00000139278,GLIPR1,341.607530936435,2.28560689772308,8.10594463469769e-90,3.43421854356692e-87
ENSG00000060982,BCAT1,192.742844735352,2.7696839699014,8.90801996584274e-90,3.72011639516401e-87
ENSG00000144843,ADPRH,145.787436081994,1.87154384868238,1.48925507792645e-89,6.13174559056674e-87
ENSG00000147443,DOK2,273.379341594553,3.03421112277182,4.13211853797476e-89,1.677697516953e-86
ENSG00000186832,KRT16,71482.4542875771,6.46916524211442,1.27187178088748e-88,5.09323668091558e-86
ENSG00000170465,KRT6C,13512.400069677,8.87571956218914,1.8264907291258e-88,7.21537884926143e-86
ENSG00000123342,MMP19,331.532617434067,2.59752216865082,2.03512466449094e-88,7.93237324227514e-86
ENSG00000154217,PITPNC1,184.913199254448,2.4676606966874,2.40233957326594e-88,9.24047272964253e-86
ENSG00000099998,GGT5,380.699624805384,2.92064991075086,2.51941197138413e-87,9.56493118954185e-85
ENSG00000206384,COL6A6,1000.64099879048,5.54426596042915,2.63585701474063e-87,9.87871898870679e-85
ENSG00000090382,LYZ,2125.70669050051,3.68650747936103,3.26642862439449e-87,1.20870263261929e-84
ENSG00000102755,FLT1,365.781706712457,2.56848727552702,3.30812380463533e-87,1.20882978976131e-84
ENSG00000130508,PXDN,518.195278819007,3.15284241562529,3.50160509499552e-87,1.26373360175314e-84
ENSG00000143119,CD53,504.54177242107,3.06543876008309,6.09241661066923e-87,2.17194652170358e-84
ENSG00000109861,CTSC,4108.00865711941,3.16285410102688,9.2157537144485e-87,3.24583287149967e-84
ENSG00000048052,HDAC9,116.542575797557,2.32192982648986,1.03982597551317e-86,3.61871818359245e-84
ENSG00000085563,ABCB1,77.9107309131222,2.71542618865607,1.34527679502519e-86,4.626644299879e-84
ENSG00000111145,ELK3,897.912136491586,1.75904418972112,2.39909431564157e-86,8.1549679219942e-84
ENSG00000137491,SLCO2B1,820.570431626967,2.73548901124049,7.17964361540566e-86,2.41244277941556e-83
ENSG00000110092,CCND1,5031.38753976894,-1.35703291072798,4.483869341302e-85,1.48951082334411e-82
ENSG00000135077,HAVCR2,185.027612917757,2.3987344049401,6.04339795178691e-85,1.98501856544479e-82
ENSG00000162909,CAPN2,3471.53656569225,1.6214828792381,9.56845282881744e-85,3.10793979494245e-82
ENSG00000143556,S100A7,33622.7393806914,6.02839753556597,3.20000678295651e-84,1.0279758053425e-81
ENSG00000198074,AKR1B10,1218.45183124092,4.29050509890302,6.8045557028996e-84,2.16214757459635e-81
ENSG00000205403,CFI,127.47326782318,2.56962049580759,1.09248451426846e-83,3.43404298985052e-81
ENSG00000163565,IFI16,3634.86009862704,1.59724763952975,3.83029637516351e-83,1.19118142484207e-80
ENSG00000100342,APOL1,475.425859079225,2.92763625091464,7.55514393559376e-83,2.32483708072855e-80
ENSG00000189182,KRT77,8928.37693470632,-3.34830668690844,9.17903480863828e-83,2.79511171417628e-80
ENSG00000110799,VWF,1844.57520508155,2.62043836365065,1.96252340789037e-82,5.9144790497793e-80
ENSG00000188373,C10orf99,1580.52935357069,3.44006413932738,2.6945934391857e-82,8.03786224568528e-80
ENSG00000169896,ITGAM,294.291120280074,2.73685012203283,3.9875607578076e-82,1.17745821851505e-79
ENSG00000155659,VSIG4,486.039058376193,3.95706885075182,5.32151789364078e-82,1.55563932584801e-79
ENSG00000122122,SASH3,209.990290450448,3.30865751579254,8.80842289856696e-82,2.54947155043374e-79
ENSG00000143546,S100A8,37053.7600726528,6.33239772306516,9.84083979887851e-82,2.82036539059427e-79
ENSG00000111799,COL12A1,3141.36058090436,2.8278680143088,2.34936827997775e-81,6.66787212898929e-79
ENSG00000253161,LINC01605,146.572451646079,3.4774908930398,7.02536575038911e-80,1.97473574020312e-77
ENSG00000164125,FAM198B,464.11801318983,2.77699717458329,8.06963999510944e-80,2.24666462835271e-77
ENSG00000134871,COL4A2,2406.18725274643,2.62655139712667,1.8554819940631e-79,5.11710425777798e-77
ENSG00000069122,ADGRF5,266.372885846211,2.74221889340492,2.07261635345321e-79,5.66250409911193e-77
ENSG00000137462,TLR2,204.618684089471,2.62560092957072,2.79049994512382e-79,7.55321156442634e-77
ENSG00000162711,NLRP3,55.6036036803116,3.31144879957577,4.14210384863928e-79,1.11088185144286e-76
ENSG00000205420,KRT6A,92996.952049433,5.37591992138039,2.68886863831751e-78,7.14579062763051e-76
ENSG00000128567,PODXL,721.845163894774,2.25270073848272,2.97726511577813e-78,7.84093613779659e-76
ENSG00000120156,TEK,174.648637797039,2.72792702444812,4.31063642694698e-78,1.1251145952584e-75
ENSG00000145703,IQGAP2,356.049413251483,2.72230283247148,5.9981103482889e-78,1.54050359036834e-75
ENSG00000163762,TM4SF18,75.1211961754344,2.84565580561926,1.20507413571787e-77,3.06329845299483e-75
ENSG00000186350,RXRA,8614.64460814025,-1.22953274181142,3.36329511808939e-77,8.47579363681958e-75
ENSG00000159516,SPRR2G,25441.6763809326,4.71099519235442,6.37389969013069e-77,1.59254880035547e-74
ENSG00000198682,PAPSS2,168.128694197949,2.98929994199445,8.51120806177303e-77,2.10854360398145e-74
ENSG00000177675,CD163L1,171.413037955662,2.93099437424191,2.51158746894725e-76,6.16985180501975e-74
ENSG00000105967,TFEC,68.3315585138971,4.38842233316672,2.87549597172286e-76,7.0049478117812e-74
ENSG00000128487,SPECC1,228.544573824415,1.57465409126167,3.8927511361516e-76,9.40469371596031e-74
ENSG00000109790,KLHL5,302.032336750079,1.97292749607653,4.0588165689288e-76,9.72552334094226e-74
ENSG00000224189,HAGLR,32.8489936583374,2.39924138895605,4.4424579819216e-76,1.05582418037003e-73
ENSG00000166825,ANPEP,1284.11603927527,2.40117941103694,6.37924009175751e-76,1.50390585163183e-73
ENSG00000171659,GPR34,99.1587710903235,3.10010229033432,1.22634750848159e-75,2.8679853372354e-73
ENSG00000166130,IKBIP,171.305896087621,1.7816568845118,1.30448538229708e-75,3.02650961751513e-73
ENSG00000173372,C1QA,1162.68364862978,3.65725873720758,1.62475124731791e-75,3.73987033172004e-73
ENSG00000131042,LILRB2,144.80638151369,3.91281618594422,1.92476866251165e-75,4.39584080556274e-73
ENSG00000157554,ERG,240.033305979284,2.13285925589819,2.28676790372973e-75,5.18209969997917e-73
ENSG00000135636,DYSF,251.052792976671,2.36676517917935,2.54142423357784e-75,5.67125607787641e-73
ENSG00000162511,LAPTM5,1935.31384568696,2.24258846859215,2.52758775359467e-75,5.67125607787641e-73
ENSG00000106991,ENG,1227.52617095411,2.1991338605279,3.05376025030666e-75,6.76292222706172e-73
ENSG00000165168,CYBB,509.932122619115,3.42369360823287,4.4032470356318e-75,9.67820455583641e-73
ENSG00000057149,SERPINB3,6523.05133217232,4.11346283363503,4.56552735418895e-75,9.96000456306012e-73
ENSG00000140749,IGSF6,143.986218954815,2.75122553085705,6.6062327956778e-75,1.43051854308185e-72
ENSG00000103187,COTL1,1166.30202317011,2.54678235112638,8.42102589595689e-75,1.81008713247432e-72
ENSG00000174944,P2RY14,237.481350638734,3.28066407331479,9.31005781824081e-75,1.98657605985864e-72
ENSG00000143226,FCGR2A,321.599448194886,3.01481932154478,1.45345047692503e-74,3.07889259361951e-72
ENSG00000129538,RNASE1,3604.93869931504,3.43766272153344,1.49709324564188e-74,3.14852711149993e-72
ENSG00000116793,PHTF1,102.124799324413,1.54986917864437,2.14309937736465e-74,4.47494457846434e-72
ENSG00000185291,IL3RA,177.689048645417,2.60070095864176,2.68074227574038e-74,5.55788219480273e-72
ENSG00000134827,TCN1,317.564453642784,8.38951155539455,4.39914220898702e-74,9.05634677431814e-72
ENSG00000170989,S1PR1,284.239864900241,2.33955285536073,6.84131327328016e-74,1.3985462301944e-71
ENSG00000128052,KDR,357.914536188021,2.66936020265848,9.7849803725928e-74,1.98641896688893e-71
ENSG00000130775,THEMIS2,237.602264116829,2.3814419433754,1.17210262227009e-73,2.36303972116011e-71
ENSG00000223863,LINC01805,212.211122042021,-2.41205684807552,1.6906375971126e-73,3.38509649838306e-71
ENSG00000110324,IL10RA,600.099170652438,2.59847623897429,1.76838335569957e-73,3.51667691409289e-71
ENSG00000152583,SPARCL1,2480.11293403044,2.47867582920071,3.32248228372995e-73,6.56257598650525e-71
ENSG00000158856,DMTN,990.548202688096,-1.57441037209265,3.37582128372535e-73,6.62318010651967e-71
ENSG00000143110,C1orf162,221.07996323347,2.66401942770929,5.40838052666081e-73,1.05402125290584e-70
ENSG00000099625,CBARP,171.505676000514,-1.65336842882318,6.84486061303449e-73,1.32513781656184e-70
ENSG00000115935,WIPF1,713.145366704635,2.20447555753012,1.02930667806121e-72,1.97958698156337e-70
ENSG00000165457,FOLR2,481.789934770147,3.45259894836396,1.99106743949029e-72,3.80424016069409e-70
ENSG00000167613,LAIR1,193.55986408153,2.87572790270582,2.03531940046004e-72,3.8635384437434e-70
ENSG00000106025,TSPAN12,55.9426858131391,2.43904014764945,2.26113884768515e-72,4.26450786673419e-70
