Ensembl,Gene.symbol,baseMean,log2FoldChange,p.value,p.adjust
ENSG00000149968,MMP3,682.418749287647,8.51507931249478,1.39585567180509e-33,5.99514954948067e-32
ENSG00000177257,DEFB4B,1.45387177868091,8.32994474119932,7.62487309697752e-4,0.00198769996324342
ENSG00000259419,HNRNPCP3,1.24239123087741,7.29493616154186,2.10779150005018e-9,1.16873404554506e-8
ENSG00000250048,LINC00603,0.95966075337701,6.82195949382301,2.17128240265851e-7,9.51485206094594e-7
ENSG00000171711,DEFB4A,38.6985532364135,6.76793491840509,4.56861913558563e-29,1.41275760961956e-27
ENSG00000275385,CCL18,1304.15658063462,6.53753406042166,4.92113976138472e-85,5.27546182420442e-82
ENSG00000184330,S100A7A,236.394266974254,6.18155061370109,2.86677654732637e-31,1.04372302372094e-29
ENSG00000188120,DAZ1,1.35321254740291,5.53645265333112,1.41645133267093e-7,6.34247638812307e-7
ENSG00000185962,LCE3A,151.2837508002,5.53487396813007,1.41182970304234e-30,4.83597620412515e-29
ENSG00000127318,IL22,3.05709671135422,5.35642207770898,9.68822671998905e-9,4.99939444078023e-8
ENSG00000241794,SPRR2A,655.413125343556,5.3354948381179,4.00428509757784e-36,2.09584137186787e-34
ENSG00000212556,Y_RNA,0.455999966572602,5.32032503084603,0.0076139007169571,0.0163387264495556
ENSG00000206073,SERPINB4,727.762398618709,5.24298294481197,3.36369274286223e-23,6.59165353753584e-22
ENSG00000196805,SPRR2B,818.323779587063,5.16788155462572,1.60539571813788e-34,7.44656629259339e-33
ENSG00000135226,UGT2B28,1.19987343951229,5.13482007494852,1.23578070916617e-6,4.93425808333641e-6
ENSG00000228742,AC002384.1,0.395581473889363,5.13248264986732,0.00638968679523254,0.0139379828624019
ENSG00000211892,IGHG4,58.425248052675,5.05124212541403,1.21755293556284e-20,1.92572962660825e-19
ENSG00000262406,MMP12,119.052263228074,5.00981326935699,6.28653440583534e-18,7.80933269710292e-17
ENSG00000185594,SPATA8,0.962369862314833,4.97730460305694,4.28624268775491e-8,2.05059517941121e-7
ENSG00000235711,ANKRD34C,2.73992510308055,4.96531190758871,1.10870801368431e-19,1.61420748229772e-18
ENSG00000182898,TCHHL1,33.1824404131731,4.89652611105451,1.03648014158123e-6,4.18641937174533e-6
ENSG00000177575,CD163,1172.30001477535,4.872796596572,3.88041884854379e-118,2.24629686304503e-114
ENSG00000145850,TIMD4,17.2103672068916,4.84697779083719,1.44772310325929e-34,6.75853185495757e-33
ENSG00000134028,ADAMDEC1,15.9601325045412,4.82340445565976,2.15408681286557e-33,9.06219312668329e-32
ENSG00000181374,CCL13,658.547322188275,4.69714948428357,8.12570183218681e-82,6.91736217149456e-79
ENSG00000256948,AC026369.3,1.28851260746852,4.55823699504482,3.19763763612037e-6,1.2044823495558e-5
ENSG00000111536,IL26,3.91274232941933,4.55751605711195,7.35623332896872e-18,9.06423233178674e-17
ENSG00000167941,SOST,3.9382671067443,4.52615999847163,6.06626577002659e-10,3.58111353146338e-9
ENSG00000134827,TCN1,21.9308505259769,4.50047066867717,1.13375018338982e-24,2.51843939432347e-23
ENSG00000121933,TMIGD3,19.7921155790843,4.42318932203072,2.4898883349313e-34,1.14211296301508e-32
ENSG00000179873,NLRP11,0.672391236469776,4.41017732409433,0.0260276174183938,0.0493251724322655
ENSG00000248187,AC078850.1,3.24203425366106,4.39976359857948,3.39005414211016e-17,3.93746898431927e-16
ENSG00000211790,TRAV8-4,1.09170081519397,4.39729043210356,1.54886679322736e-9,8.70831399828531e-9
ENSG00000253755,IGHGP,5.61535668101951,4.33757899446361,6.18627477289017e-8,2.90062428359846e-7
ENSG00000232187,FTH1P7,0.665023613019486,4.31160327133079,6.41268220718458e-5,2.0052795354878e-4
ENSG00000229035,SPRR2C,0.921309337117677,4.30373316856389,0.00123805081720449,0.00310252319075038
ENSG00000264404,BX547991.1,1.46360113363082,4.24596485256221,9.26442030773245e-8,4.25904354172503e-7
ENSG00000181333,HEPHL1,291.820581593375,4.23552217662136,8.27705888146078e-40,5.5328219922633e-38
