Ensembl,Gene.symbol,baseMean,log2FoldChange,p.value,p.adjust
ENSG00000120279,MYCT1,108.701455291385,2.3455277370737,1.94458923611428e-97,1.20949313062402e-94
ENSG00000260244,AC104083.1,69.0134237295758,2.95081184394928,2.79877187405787e-94,1.46100889632739e-91
ENSG00000143248,RGS5,670.927383358964,3.14733799151878,3.64736442124697e-93,1.80717634112395e-90
ENSG00000166265,CYYR1,231.418613512303,2.2181406313282,8.03452029558604e-92,3.78827631936882e-89
ENSG00000133574,GIMAP4,326.399338928142,2.33918018246542,4.77204776504065e-90,2.08210854202139e-87
ENSG00000048052,HDAC9,116.542575797557,2.32192982648986,1.03982597551317e-86,3.61871818359245e-84
ENSG00000085563,ABCB1,77.9107309131222,2.71542618865607,1.34527679502519e-86,4.626644299879e-84
ENSG00000155659,VSIG4,486.039058376193,3.95706885075182,5.32151789364078e-82,1.55563932584801e-79
ENSG00000111799,COL12A1,3141.36058090436,2.8278680143088,2.34936827997775e-81,6.66787212898929e-79
ENSG00000069122,ADGRF5,266.372885846211,2.74221889340492,2.07261635345321e-79,5.66250409911193e-77
ENSG00000128567,PODXL,721.845163894774,2.25270073848272,2.97726511577813e-78,7.84093613779659e-76
ENSG00000145703,IQGAP2,356.049413251483,2.72230283247148,5.9981103482889e-78,1.54050359036834e-75
ENSG00000163762,TM4SF18,75.1211961754344,2.84565580561926,1.20507413571787e-77,3.06329845299483e-75
ENSG00000224189,HAGLR,32.8489936583374,2.39924138895605,4.4424579819216e-76,1.05582418037003e-73
ENSG00000171659,GPR34,99.1587710903235,3.10010229033432,1.22634750848159e-75,2.8679853372354e-73
ENSG00000174944,P2RY14,237.481350638734,3.28066407331479,9.31005781824081e-75,1.98657605985864e-72
ENSG00000129538,RNASE1,3604.93869931504,3.43766272153344,1.49709324564188e-74,3.14852711149993e-72
ENSG00000128052,KDR,357.914536188021,2.66936020265848,9.7849803725928e-74,1.98641896688893e-71
ENSG00000152583,SPARCL1,2480.11293403044,2.47867582920071,3.32248228372995e-73,6.56257598650525e-71
ENSG00000165457,FOLR2,481.789934770147,3.45259894836396,1.99106743949029e-72,3.80424016069409e-70
ENSG00000106025,TSPAN12,55.9426858131391,2.43904014764945,2.26113884768515e-72,4.26450786673419e-70
ENSG00000133561,GIMAP6,422.549824611181,2.12362997620973,4.73321682601697e-69,7.43903911155667e-67
ENSG00000156052,GNAQ,763.268252181781,1.30458222424668,4.38634152441094e-68,6.50893003975152e-66
ENSG00000154721,JAM2,284.476757852147,1.82748190189988,1.16435390646268e-62,1.34535801374006e-60
ENSG00000111885,MAN1A1,1227.09727089315,2.18786977427359,1.17609299366371e-62,1.35357190880989e-60
ENSG00000171115,GIMAP8,379.870651922271,1.8994653978553,2.42790972201229e-62,2.7298109578302e-60
ENSG00000106819,ASPN,502.214646225094,2.22579986968555,4.7137723036842e-62,5.16096276230712e-60
ENSG00000213949,ITGA1,251.753823085745,1.99870920923744,3.76085035487932e-61,3.91248891189278e-59
ENSG00000109436,TBC1D9,282.155877712491,1.89287980948438,4.10291855124878e-61,4.23818438193129e-59
ENSG00000048740,CELF2,706.701775404656,1.70815121369632,2.22692617697903e-60,2.20677060785179e-58
ENSG00000169504,CLIC4,2207.70980936749,1.95543095270614,2.85187368587864e-60,2.8165143060571e-58
ENSG00000179144,GIMAP7,231.392754452533,1.97751611294628,7.22966748458815e-60,6.99817448930349e-58
ENSG00000229124,VIM-AS1,44.9076983649634,1.93596080933255,8.53563097345217e-60,8.23505281342994e-58
ENSG00000138722,MMRN1,523.08324974351,2.11904825714746,3.9344853305493e-59,3.69828969993401e-57
ENSG00000185551,NR2F2,291.622420362276,1.62200905865262,1.20715544566593e-58,1.09253173817808e-56
ENSG00000112782,CLIC5,42.6380848312117,2.43829956637488,1.58689823931694e-57,1.36440577146918e-55
ENSG00000109586,GALNT7,152.396941572288,2.21715953759913,1.07516846957432e-55,8.63472523930385e-54
ENSG00000106511,MEOX2,131.998395673975,1.74217240617213,1.83245401041961e-55,1.45171078825465e-53
ENSG00000026025,VIM,29070.313288944,1.6368859090986,2.07087973728902e-55,1.63616290162621e-53
ENSG00000129682,FGF13,30.9993841267443,2.64214189520756,2.50817896216678e-55,1.97632333156392e-53
ENSG00000146374,RSPO3,34.992175721867,2.89357248154476,5.86716605904729e-55,4.53743030169655e-53
ENSG00000184005,ST6GALNAC3,33.4901367253659,1.8493223391621,6.97015105039948e-55,5.36206383306126e-53
ENSG00000003436,TFPI,348.952774070149,2.07923955977008,7.9294161156233e-55,6.05223554329023e-53
ENSG00000164116,GUCY1A3,122.382444531052,2.39079137037137,2.0308328935102e-54,1.52615264719753e-52
ENSG00000163399,ATP1A1,15822.8400180087,1.26572670301258,2.39151280143464e-54,1.77890823726053e-52
ENSG00000173598,NUDT4,1320.15905341533,1.00667383889142,2.60890018105311e-54,1.93078427829685e-52
ENSG00000173269,MMRN2,707.359593437863,1.28459206987431,2.73627696887923e-54,2.01993900583956e-52
ENSG00000112214,FHL5,32.0386801827108,3.22718927279725,2.82398884801598e-54,2.07943743058063e-52
ENSG00000136869,TLR4,278.258944821634,2.35518478710071,5.38429719606569e-54,3.86730122684492e-52
ENSG00000115252,PDE1A,44.5120521924133,2.20549967714828,8.03589257369359e-54,5.70177785453361e-52
ENSG00000136404,TM6SF1,61.6442140281862,1.97326336737161,1.33390081443672e-52,8.92309439552144e-51
ENSG00000176435,CLEC14A,296.140523427013,2.02964397448747,2.14283338717639e-52,1.42044100696888e-50
ENSG00000271601,LIX1L,321.92213401453,1.17757307978658,4.42231718799758e-52,2.89860086001644e-50
ENSG00000163297,ANTXR2,638.869885887976,1.71745050739718,6.51040982852735e-52,4.17365812538026e-50
ENSG00000115353,TACR1,129.318845836662,1.77160063356256,7.26558425467592e-52,4.63744158333932e-50
ENSG00000168675,LDLRAD4,299.482616685778,1.80401352747568,1.40563018007891e-51,8.85577307203593e-50
ENSG00000144642,RBMS3,128.310122047858,1.81003854913492,1.38511527663433e-50,8.36592456236599e-49
ENSG00000019169,MARCO,554.383846037435,3.18772770499636,2.16993529395428e-50,1.3025404198802e-48
ENSG00000173890,GPR160,32.162805459551,2.52250890647881,2.37777806960243e-50,1.42437676862066e-48
ENSG00000241399,CD302,409.01860042174,1.5687589820858,9.36804088167269e-50,5.43364958519718e-48
ENSG00000166503,HDGFL3,300.8077615444,1.20369740825044,1.40728628317463e-49,8.03499998360231e-48
ENSG00000046889,PREX2,138.901353613605,2.23886803393028,1.98534819051415e-48,1.08481651688412e-46
ENSG00000198873,GRK5,361.402069308,1.27879706994732,7.27307218036281e-48,3.87983854659662e-46
